Data info
File name: C:\TP_RESA_PERCAGE\TP11\Alu2017-T4-Vc52-f0.04BC-DRY.dxd
Start time: 05/12/2017 11:26:16,293
Number of channels: 4
Sample rate: 1000
Store type: Toujours rapide


Data1

Time [s]	Fx [N]	Fy [N]	Fz [N]	Mz [Nm]
0	-7.980011	-8.3128195	-51.160637	0.041135699
0.001	-7.9120259	-8.3347778	-50.931042	0.039070398
0.002	-8.005868	-8.2366447	-51.243252	0.041119605
0.003	-7.9375606	-8.2656126	-50.920849	0.040744096
0.004	-8.0110178	-8.3541613	-51.091972	0.038689524
0.005	-7.8932505	-8.3181124	-51.169758	0.04079774
0.006	-7.9056959	-8.3502636	-50.825363	0.04048124
0.007	-7.9457502	-8.2663279	-51.072124	0.045395046
0.008	-7.9363804	-8.3565931	-51.081245	0.04094258
0.009	-7.8852396	-8.2594261	-50.819462	0.041253716
0.01	-7.9390626	-8.3646755	-50.959473	0.039488822
0.011	-7.970963	-8.2510929	-50.791565	0.041661412
0.012	-7.9313021	-8.3351355	-51.158493	0.038989931
0.013	-7.9963903	-8.3083134	-50.92514	0.040475875
0.014	-7.9664569	-8.3523731	-51.317814	0.03927961
0.015	-7.9218607	-8.3068113	-51.190678	0.039263517
0.016	-7.9132419	-8.2672577	-51.157421	0.040513426
0.017	-7.9736452	-8.3383541	-51.429932	0.041237622
0.018	-7.9001527	-8.3125696	-51.091438	0.041296631
0.019	-7.9083424	-8.2895737	-50.765816	0.041827708
0.02	-7.90237	-8.2477674	-51.161175	0.042058378
0.021	-7.9417806	-8.2992659	-51.292065	0.04071191
0.022	-7.9251151	-8.2965117	-50.883297	0.041741878
0.023	-7.9443555	-8.3274469	-51.171368	0.040990859
0.024	-7.9180698	-8.2239132	-51.29475	0.040052086
0.025	-7.9951029	-8.3137856	-51.366096	0.04098013
0.026	-7.9514723	-8.319829	-51.266315	0.041114241
0.027	-7.8938942	-8.3754759	-51.352146	0.04074946
0.028	-7.8798037	-8.2971554	-51.247543	0.042407066
0.029	-7.966886	-8.3344202	-51.540974	0.04369989
0.03	-7.9360228	-8.2641821	-51.333908	0.044359714
0.031	-7.8808765	-8.3306656	-50.987366	0.03941372
0.032	-7.926796	-8.2607851	-51.191216	0.044348985
0.033	-7.9043369	-8.2594976	-51.340881	0.038104802
0.034	-7.974432	-8.297513	-51.505569	0.038051158
0.035	-7.9632382	-8.3403568	-51.007217	0.041988641
0.036	-7.9768281	-8.3529816	-51.229839	0.041731149
0.037	-7.8437905	-8.2832079	-51.437977	0.041918904
0.038	-7.9819064	-8.2488403	-50.846283	0.041033775
0.039	-7.9358797	-8.3488684	-51.058716	0.044456273
0.04	-7.8922133	-8.3522663	-50.998634	0.044016391
0.041	-7.9124193	-8.2968693	-51.178879	0.04300788
0.042	-7.9235773	-8.2811699	-50.854328	0.042573363
0.043	-7.8857045	-8.2672224	-50.833408	0.041119605
0.044	-7.9147797	-8.3602772	-51.033501	0.039242059
0.045	-7.8879933	-8.2932577	-51.118259	0.039842874
0.046	-7.9345565	-8.2614641	-50.999706	0.04148975
0.047	-7.9869847	-8.2645044	-51.143471	0.042262226
0.048	-7.9802256	-8.3519087	-51.48465	0.040196925
0.049	-7.8850965	-8.3156805	-50.971275	0.040550977
0.05	-7.929657	-8.3852034	-50.832336	0.039547831
0.051	-7.9211454	-8.2264166	-51.03511	0.040996224
0.052	-7.9710703	-8.3887081	-50.803905	0.0440754
0.053	-7.8898172	-8.2257376	-51.300114	0.040041357
0.054	-7.8991513	-8.3321676	-50.817314	0.039966255
0.055	-7.9373102	-8.3004103	-50.957863	0.039295703
0.056	-7.9168539	-8.3090649	-50.644043	0.039225966
0.057	-7.9979281	-8.3072405	-50.943378	0.041666776
0.058	-7.9049449	-8.3004456	-51.319424	0.038909465
0.059	-7.9667788	-8.297513	-51.171368	0.03941372
0.06	-7.9128842	-8.2918272	-51.279728	0.040733367
0.061	-7.9552274	-8.3740816	-51.160103	0.04323855
0.062	-7.8340631	-8.3216887	-51.109676	0.041382462
0.063	-7.9135995	-8.269618	-51.071053	0.044745952
0.064	-7.9279404	-8.2788448	-51.171902	0.046548396
0.065	-7.9599123	-8.2625017	-51.042084	0.042085201
0.066	-7.8924279	-8.3438978	-51.489475	0.039687306
0.067	-7.9471092	-8.329092	-51.200871	0.042514354
0.068	-7.9255085	-8.2302074	-51.316208	0.040706545
0.069	-8.0221395	-8.3468304	-50.958935	0.041967183
0.07	-7.970963	-8.308814	-51.068371	0.039934069
0.071	-7.8966122	-8.3775501	-51.1483	0.041275173
0.072	-7.9224329	-8.245657	-50.971275	0.040288121
0.073	-7.945178	-8.391963	-51.175121	0.04218176
0.074	-7.9024415	-8.2419024	-51.026527	0.04287377
0.075	-7.9293709	-8.3502636	-50.854328	0.040379316
0.076	-7.9618435	-8.2510576	-51.061398	0.039065033
0.077	-7.9036932	-8.3097439	-51.061932	0.038689524
0.078	-8.0049381	-8.3308086	-51.187462	0.039778501
0.079	-7.9230409	-8.3060961	-51.326935	0.043694526
0.08	-7.9618793	-8.3141069	-50.774937	0.042707473
0.081	-7.8552346	-8.2528458	-51.196045	0.04254654
0.082	-7.9736094	-8.3224039	-50.716465	0.042932779
0.083	-7.9012971	-8.3130703	-50.941769	0.042283684
0.084	-7.887743	-8.3260517	-51.123623	0.041505843
0.085	-7.9102736	-8.2479105	-50.769573	0.041843802
0.086	-7.9448562	-8.3141069	-50.840919	0.040695816
0.087	-7.920752	-8.2419024	-50.965908	0.041296631
0.088	-7.9505067	-8.3545189	-50.863449	0.039070398
0.089	-7.9151015	-8.2550631	-51.05603	0.043437034
0.09	-7.9819064	-8.2907181	-51.109676	0.04292205
0.091	-7.9807262	-8.2567797	-51.594082	0.040073544
0.092	-7.9437475	-8.3937149	-51.733021	0.042605549
0.093	-7.8781586	-8.2741957	-51.190678	0.038185269
0.094	-7.9264026	-8.3016977	-50.713245	0.042246133
0.095	-8.0153809	-8.2567081	-51.019016	0.0426431
0.096	-7.8994374	-8.3136778	-51.155273	0.040996224
0.097	-7.9868417	-8.2727652	-51.15152	0.041200072
0.098	-7.8675013	-8.3280191	-51.012043	0.04541114
0.099	-7.9880219	-8.2450495	-51.25827	0.041382462
0.1	-7.9502921	-8.3054886	-51.358585	0.040835291
0.101	-8.0160246	-8.3172903	-51.291531	0.041607767
0.102	-7.891355	-8.2458	-51.436905	0.038780719
0.103	-7.9425673	-8.2719784	-51.25666	0.040899664
0.104	-7.9573731	-8.2832794	-50.971809	0.041382462
0.105	-7.9355578	-8.3956108	-51.372532	0.04287377
0.106	-7.8971486	-8.2470522	-51.184242	0.041843802
0.107	-7.9875569	-8.3229761	-51.100555	0.044338256
0.108	-7.9406362	-8.2336407	-51.217503	0.037418157
0.109	-7.9480391	-8.3191137	-51.137569	0.040556341
0.11	-7.8978639	-8.3431463	-51.120403	0.041087419
0.111	-7.9897027	-8.2243786	-51.588181	0.040781647
0.112	-7.9474669	-8.2654696	-51.29475	0.039488822
0.113	-8.0411301	-8.3593473	-51.249687	0.041731149
0.114	-7.9119544	-8.3099585	-51.273293	0.042943507
