Data info
File name: C:\TP_RESA_PERCAGE\TP11\Alu2017-T4-Vc61-f0.05BC-DRY.dxd
Start time: 05/12/2017 11:35:43,734
Number of channels: 4
Sample rate: 1000
Store type: Toujours rapide


Data1

Time [s]	Fx [N]	Fy [N]	Fz [N]	Mz [Nm]
0.089	-8.154212	-8.2137928	-35.17038	0.24855092
0.09	-8.1695538	-8.1232052	-35.110298	0.2490069
0.091	-8.218442	-8.143733	-35.172527	0.24613157
0.092	-8.154355	-8.1983433	-34.907524	0.24687186
0.093	-8.1209164	-8.1412659	-34.84798	0.24356201
0.094	-8.2540617	-8.1663351	-35.040562	0.24962381
0.095	-8.1961975	-8.1426964	-35.01535	0.24464026
0.096	-8.2027416	-8.1572514	-35.050755	0.24948969
0.097	-8.1779585	-8.1828222	-35.017494	0.24631932
0.098	-8.2459431	-8.0963478	-34.949368	0.24428621
0.099	-8.2176905	-8.1946239	-34.661297	0.24524644
0.1	-8.1337557	-8.1866484	-35.036808	0.2493985
0.101	-8.179389	-8.1055384	-35.033588	0.24831489
0.102	-8.2631454	-8.1358652	-34.953121	0.24416819
0.103	-8.1613998	-8.1312876	-34.84798	0.24641052
0.104	-8.1883297	-8.1517801	-34.691875	0.24564341
0.105	-8.1849318	-8.2046013	-34.743374	0.24594918
0.106	-8.228241	-8.0871925	-34.709576	0.24711326
0.107	-8.2345705	-8.1973419	-35.029297	0.24687186
0.108	-8.1229553	-8.1558924	-35.050755	0.24361566
0.109	-8.2166176	-8.1387262	-34.801846	0.24414673
0.11	-8.2307796	-8.1824646	-35.03466	0.24600282
0.111	-8.1042509	-8.1423388	-35.003548	0.25095418
0.112	-8.1487045	-8.1361876	-34.918255	0.24630323
0.113	-8.2238064	-8.1435547	-34.9837	0.24624959
0.114	-8.2106094	-8.1349001	-34.84959	0.24799839
0.115	-8.1974134	-8.1971273	-35.250309	0.24540201
0.116	-8.2227688	-8.1278543	-34.823841	0.24540201
0.117	-8.2302437	-8.1272469	-34.932735	0.24464563
0.118	-8.1705914	-8.1938372	-34.941319	0.24709716
0.119	-8.1025343	-8.1386909	-35.014812	0.24702206
0.12	-8.2282047	-8.127676	-34.871582	0.24886742
0.121	-8.1806402	-8.1648693	-34.88982	0.24856165
0.122	-8.1547127	-8.0826502	-35.062557	0.24835244
0.123	-8.2058172	-8.2025633	-35.020176	0.24591699
0.124	-8.1948385	-8.073638	-35.098499	0.2424784
0.125	-8.2460146	-8.1575022	-35.176819	0.2457507
0.126	-8.1229553	-8.2327471	-35.071674	0.24138406
0.127	-8.1345062	-8.1023197	-35.452549	0.24552003
0.128	-8.207427	-8.1029282	-35.053974	0.24487093
0.129	-8.1327181	-8.1852179	-34.906986	0.24681821
0.13	-8.136652	-8.0821495	-35.198811	0.24133042
0.131	-8.1911907	-8.1331472	-34.944538	0.24556294
0.132	-8.1981287	-8.1755266	-35.135513	0.24764434
0.133	-8.2115755	-8.136795	-35.103863	0.24454907
0.134	-8.1498127	-8.1779222	-35.102253	0.24533227
0.135	-8.2202654	-8.0997095	-35.015884	0.24511233
0.136	-8.2291346	-8.1492052	-34.98209	0.24702206
0.137	-8.1025343	-8.1526022	-35.154823	0.24702206
0.138	-8.1330042	-8.0959539	-35.14785	0.2486904
0.139	-8.291934	-8.1624374	-34.898403	0.24531081
0.14	-8.1668005	-8.1953745	-34.87051	0.24270907
0.141	-8.1728802	-8.1191282	-34.983162	0.2498062
0.142	-8.1842165	-8.1872921	-35.041634	0.24725273
0.143	-8.2193718	-8.0679874	-35.387104	0.24816468
0.144	-8.2336769	-8.1903677	-35.145706	0.2451767
0.145	-8.0996017	-8.1720934	-35.094742	0.24217799
0.146	-8.1995592	-8.1017475	-34.652714	0.24471
0.147	-8.2092152	-8.1953745	-34.895187	0.24764434
0.148	-8.1279974	-8.1369028	-34.891968	0.24844363
0.149	-8.1058607	-8.0690603	-34.890358	0.24418429
0.15	-8.243762	-8.1567869	-35.14946	0.24575606
0.151	-8.2171545	-8.1617937	-35.055584	0.243503
0.152	-8.2281694	-8.1201296	-35.053974	0.24267688
0.153	-8.1802826	-8.1607924	-35.177891	0.24484947
0.154	-8.2319956	-8.0881224	-35.032516	0.24525717
0.155	-8.1866484	-8.2090359	-35.18111	0.24641052
0.156	-8.0823641	-8.1470594	-34.884995	0.2457346
0.157	-8.2100372	-8.1175909	-34.53577	0.24425402
0.158	-8.2385044	-8.2208738	-34.949902	0.24770334
0.159	-8.1314306	-8.0985289	-35.041634	0.24810567
0.16	-8.2374315	-8.1455574	-34.83564	0.245343
0.161	-8.2020264	-8.1806049	-34.949368	0.24745658
0.162	-8.2452278	-8.1077557	-34.785751	0.24389461
0.163	-8.1422672	-8.1914406	-35.036808	0.24670556
0.164	-8.1481676	-8.1136923	-34.965996	0.24732783
0.165	-8.2630024	-8.123313	-34.83725	0.24663582
0.166	-8.1472378	-8.1683378	-35.121029	0.24569705
0.167	-8.0967407	-8.1471663	-35.019104	0.24855092
0.168	-8.2005959	-8.136652	-34.675781	0.24526253
0.169	-8.2097158	-8.1936941	-35.03627	0.24514988
0.17	-8.1985931	-8.1291065	-35.105473	0.2432777
0.171	-8.1282835	-8.1964474	-35.116199	0.24719909
0.172	-8.2438688	-8.0998878	-35.190228	0.24495676
0.173	-8.1938372	-8.1893663	-35.163406	0.24486557
0.174	-8.0958824	-8.1670504	-34.882847	0.24614766
0.175	-8.1537466	-8.1447344	-34.921471	0.24729565
