Data info
File name: C:\TP_RESA_PERCAGE\TP11\Alu2017-T4-Vc44-f0.04BC-DRY.dxd
Start time: 05/12/2017 11:13:55,432
Number of channels: 4
Sample rate: 1000
Store type: Toujours rapide


Data1

Time [s]	Fx [N]	Fy [N]	Fz [N]	Mz [Nm]
0	-8.3431826	-7.9610209	-117.74487	0.0032521784
0.001	-8.3782301	-8.0565081	-118.10213	6.0349703E-5
0.002	-8.3314877	-8.0685244	-117.98895	0.0034560263
0.003	-8.4264736	-8.0362301	-118.19012	0.0021900237
0.004	-8.3543758	-8.0459938	-118.36339	0.0033916533
0.005	-8.4461794	-8.0779295	-117.86127	0.0011493266
0.006	-8.2972631	-8.0597267	-117.83392	0.0028659403
0.007	-8.368288	-8.0526457	-117.87254	0.0011976063
0.008	-8.3280907	-8.0141649	-117.84786	-0.0020585954
0.009	-8.3739738	-8.0632668	-117.48737	0.0020505488
0.01	-8.305953	-8.0498915	-117.96427	0.00066116452
0.011	-8.3028059	-7.9955678	-117.85162	0.0036330521
0.012	-8.3391409	-8.051465	-117.46056	0.0057627261
0.013	-8.3141069	-7.994173	-117.82641	0.0021739304
0.014	-8.3342056	-8.1265669	-118.0898	0.00077918172
0.015	-8.4866982	-8.055685	-117.9573	0.0022222102
0.016	-8.3032713	-7.9698901	-117.61022	0.0040139258
0.017	-8.3614931	-8.1492767	-117.86932	0.0023134053
0.018	-8.4697113	-7.9921703	-117.66064	0.00015690923
0.019	-8.2294207	-8.0206022	-117.81246	0.0044645369
0.02	-8.4900599	-8.1759911	-117.58447	0.0018842518
0.021	-8.2331762	-7.9743247	-117.66172	-0.0006262958
0.022	-8.4056959	-8.0998878	-117.42515	-0.0021658838
0.023	-8.2871418	-7.9738598	-118.16276	0.0029249489
0.024	-8.379982	-8.0561857	-117.82426	0.0014980137
0.025	-8.2951174	-8.0007896	-117.46699	0.0020237267
0.026	-8.3827362	-8.0448132	-117.53297	-0.0011734664
0.027	-8.3244066	-8.0245361	-117.66601	0.0053174794
0.028	-8.3719358	-8.0390558	-117.88327	0.00031784177
0.029	-8.3578806	-8.0211382	-118.04152	4.4256449E-5
0.03	-8.4396706	-8.0911264	-118.17831	0.0021363795
0.031	-8.312355	-8.0380182	-117.94872	-0.00071212649
0.032	-8.3315954	-8.0885153	-117.90633	0.00078991055
0.033	-8.3053808	-8.0410585	-117.38438	0.001937896
0.034	-8.3742247	-7.9921703	-117.67835	0.0016589463
0.035	-8.3142147	-8.1154451	-117.91814	-0.00093743205
0.036	-8.298872	-8.0043297	-117.86181	0.0015731156
0.037	-8.3063107	-8.0292206	-117.46323	0.001412183
0.038	-8.3145723	-8.0167751	-117.75613	0.0042070448
0.039	-8.3728657	-8.0215673	-117.90741	0.0022114813
0.04	-8.3290205	-8.019887	-118.12682	-2.5480986E-5
0.041	-8.375762	-8.1106167	-117.57481	0.0011385977
0.042	-8.3866701	-8.0079775	-117.82319	0.00037148595
0.043	-8.3717566	-8.1243143	-117.81568	0.00015154481
0.044	-8.3646402	-7.9991083	-117.93638	0.0011654198
0.045	-8.3317022	-8.1082563	-118.02757	-0.00085696578
0.046	-8.3267317	-8.0850821	-117.97446	0.0016804039
0.047	-8.3169327	-8.0984221	-117.78081	0.0011761487
0.048	-8.3589897	-7.9873424	-117.50293	0.0038208067
0.049	-8.4004383	-8.1066113	-117.5732	0.0012727082
0.05	-8.3207235	-7.9589109	-117.38384	0.00090256333
0.051	-8.371006	-8.0667	-117.3243	-0.0020049512
0.052	-8.379982	-8.022891	-117.63168	-0.0021605194
0.053	-8.3699684	-8.050643	-117.52975	0.0017286837
0.054	-8.3687525	-8.0568657	-117.76311	0.00087574124
0.055	-8.4270821	-7.994638	-117.80817	0.0017930567
0.056	-8.3669643	-8.0560789	-118.02811	0.0043840706
0.057	-8.4284763	-8.0532532	-117.80012	0.00076845288
0.058	-8.3329897	-8.0277185	-117.56677	-0.0055991113
0.059	-8.4101658	-8.0425606	-117.44661	-0.0012646616
