Data info
File name: C:\TP_RESA_PERCAGE\TP11\Alu2017-T4-Vc44-f0.05BC-DRY.dxd
Start time: 05/12/2017 11:20:06,649
Number of channels: 4
Sample rate: 1000
Store type: Toujours rapide


Data1

Time [s]	Fx [N]	Fy [N]	Fz [N]	Mz [Nm]
0	-8.2803831	-7.930408	-86.14576	0.0095285475
0.001	-8.3383541	-7.9826574	-86.363022	0.0074203312
0.002	-8.3410721	-7.93402	-86.249832	0.0050492585
0.003	-8.3080988	-7.9657774	-86.250366	0.0064118207
0.004	-8.3568792	-7.8917484	-86.389847	0.0063849986
0.005	-8.3776579	-7.9540472	-86.020233	0.0086595118
0.006	-8.3941803	-7.9716425	-86.435982	0.010445863
0.007	-8.3442554	-8.0006819	-86.5261	0.0098289549
0.008	-8.358882	-7.9713206	-86.624268	0.0088258088
0.009	-8.3911762	-7.9131703	-86.404327	0.010537058
0.01	-8.3151083	-7.9859476	-86.251442	0.008943826
0.011	-8.3329182	-7.9554777	-86.30777	0.0083751976
0.012	-8.2925425	-7.975183	-86.094261	0.011685044
0.013	-8.3405361	-7.9299788	-86.365166	0.006749779
0.014	-8.3203659	-7.9516869	-86.185997	0.0071038306
0.015	-8.3615646	-7.9368453	-86.277725	0.0072808564
0.016	-8.3368883	-7.9881291	-86.6409	0.010832101
0.017	-8.3475456	-7.9444628	-86.41291	0.012537986
0.018	-8.266221	-7.9825144	-86.207993	0.0071360171
0.019	-8.3660707	-7.881413	-86.28846	0.0082410872
0.02	-8.3050232	-7.9568725	-86.501427	0.011009127
0.021	-8.3364229	-7.9951386	-86.262169	0.0083751976
0.022	-8.3133917	-7.9722147	-86.460121	0.0089652836
0.023	-8.2908974	-7.9573731	-86.358192	0.0093729794
0.024	-8.3346348	-7.9668145	-86.452072	0.0076885521
0.025	-8.2663641	-7.9393129	-86.162926	0.010799915
0.026	-8.4106312	-7.960556	-86.057251	0.010681897
0.027	-8.3052378	-7.9357367	-86.177948	0.0064279139
0.028	-8.3279476	-7.9654198	-86.320641	0.0050653517
0.029	-8.2720861	-7.9566221	-86.294357	0.0057949126
0.03	-8.3797674	-7.9234343	-86.216576	0.0047381222
0.031	-8.3447199	-7.9390268	-86.207451	0.0083215535
0.032	-8.3928566	-7.984374	-86.187607	0.014163405
0.033	-8.3319883	-7.9918127	-86.376968	0.013771802
0.034	-8.3609924	-7.9285841	-86.339958	0.0065030158
0.035	-8.3035212	-7.978044	-86.381264	0.01112178
0.036	-8.3706837	-7.994638	-86.110359	0.011593848
0.037	-8.3067045	-7.9593759	-86.482109	0.0050653517
0.038	-8.3638172	-7.9937081	-86.416664	0.0076670945
0.039	-8.3331327	-7.9689603	-86.555603	0.0071789324
0.04	-8.3222971	-7.8913908	-86.221939	0.0094588101
0.041	-8.3259087	-7.9817634	-86.223549	0.0069107115
0.042	-8.3626375	-7.8715067	-86.451538	0.0045986474
0.043	-8.3795891	-8.027504	-86.367851	0.0068731606
0.044	-8.3422165	-7.8885655	-86.584572	0.0082357228
0.045	-8.3708982	-7.9842668	-86.359802	0.010397583
0.046	-8.3790522	-7.9247932	-86.15274	0.0080050528
0.047	-8.3660345	-8.0453138	-86.610855	0.0083054602
0.048	-8.3073835	-7.9299788	-86.490158	0.010638982
0.049	-8.3683949	-7.9957466	-86.674698	0.010268837
0.05	-8.3221178	-7.9317312	-86.717072	0.0086058676
0.051	-8.340929	-7.9640965	-86.449928	0.0050063431
0.052	-8.324872	-7.9129915	-86.576523	0.00563398
0.053	-8.3310947	-7.9635243	-86.513229	0.011314899
0.054	-8.2835655	-7.9057317	-86.622658	0.0065888464
0.055	-8.3080988	-7.9672437	-86.427399	0.0072111189
0.056	-8.3390341	-7.9302292	-86.265923	0.0060416758
0.057	-8.3815556	-7.9713922	-86.365166	0.0042016804
0.058	-8.3359222	-8.0371246	-86.602272	0.0082410872
0.059	-8.3706837	-7.8966837	-86.182777	0.0060845912
0.06	-8.3294497	-7.9050522	-86.422028	0.0038154423
0.061	-8.4027634	-7.9480033	-86.41291	0.0084449351
0.062	-8.2940445	-7.9738598	-86.368919	0.010451227
0.063	-8.3719358	-7.9336267	-86.228378	0.0099845231
0.064	-8.2412939	-7.916389	-86.41774	0.0097002089
0.065	-8.3042011	-7.9007964	-86.250366	0.0079835951
0.066	-8.3259087	-7.9348068	-86.331909	0.012795478
0.067	-8.3539114	-7.906733	-86.453682	0.0072057545
0.068	-8.3293419	-7.9627733	-86.646263	0.0082840025
0.069	-8.3251219	-7.9058032	-86.418274	0.0080908835
0.07	-8.3354578	-7.9413872	-86.328156	0.012999326
0.071	-8.4053736	-7.8986864	-86.608711	0.010070354
