Data info
File name: C:\TP_RESA_PERCAGE\TP11\Alu2017-T4-Vc52-f0.0625BC-DRY.dxd
Start time: 05/12/2017 11:31:56,738
Number of channels: 4
Sample rate: 1000
Store type: Toujours rapide


Data1

Time [s]	Fx [N]	Fy [N]	Fz [N]	Mz [Nm]
0	-8.1671581	-7.9461079	-53.162102	0.063065439
0.001	-8.1677656	-7.9754333	-53.011898	0.060238391
0.002	-8.1253157	-7.9835873	-53.254372	0.058709532
0.003	-8.1163034	-8.0436687	-53.038185	0.060994774
0.004	-8.1184845	-7.9354148	-53.078953	0.058151633
0.005	-8.1598625	-7.9163532	-52.825752	0.061847717
0.006	-8.1814985	-8.0320463	-52.95879	0.061069876
0.007	-8.1647978	-7.9390626	-52.792496	0.059546381
0.008	-8.175312	-7.9265456	-53.103092	0.057277232
0.009	-8.15693	-8.0124836	-53.033356	0.059390813
0.01	-8.161293	-7.9952102	-53.1385	0.062019378
0.011	-8.1440554	-8.0571518	-53.059643	0.060715824
0.012	-8.1174116	-7.9851966	-52.811806	0.06140247
0.013	-8.073638	-7.9296927	-52.863842	0.062427074
0.014	-8.1935511	-7.9096656	-53.187317	0.061456114
0.015	-8.1365452	-7.9475384	-53.022091	0.061295182
0.016	-8.1440554	-7.9964261	-52.791958	0.060570985
0.017	-8.1622229	-7.9146366	-52.994198	0.06094113
0.018	-8.2050667	-8.0646973	-52.994198	0.061611682
0.019	-8.1722717	-7.9511147	-53.084854	0.062126666
0.02	-8.1727371	-8.0159883	-52.8279	0.062255412
0.021	-8.0966339	-7.9352717	-53.114361	0.058596879
0.022	-8.1805334	-7.9867344	-53.155128	0.059401542
0.023	-8.1492767	-7.9424601	-53.144402	0.05637601
0.024	-8.121417	-8.0237131	-52.897099	0.061461478
0.025	-8.1340418	-7.988308	-52.95879	0.061493665
0.026	-8.1569653	-7.9203229	-53.122944	0.060522705
0.027	-8.1787806	-7.9714279	-52.907829	0.06412223
0.028	-8.179925	-7.9725008	-53.165859	0.060195476
0.029	-8.1764202	-7.9817991	-52.803223	0.063140541
0.03	-8.1584673	-7.9820137	-52.898174	0.060699731
0.031	-8.2031708	-8.0100164	-52.919632	0.060184747
0.032	-8.1715565	-8.0306873	-52.916412	0.062979609
0.033	-8.1505642	-7.9868417	-52.891735	0.059439093
0.034	-8.0878	-7.9964261	-52.86116	0.058216006
0.035	-8.1652269	-7.9576235	-53.075737	0.059186965
0.036	-8.1279974	-7.9375606	-53.045158	0.059905797
0.037	-8.1963043	-7.9951386	-53.141182	0.06218031
0.038	-8.0895529	-7.8997235	-52.80537	0.061541945
0.039	-8.1893663	-8.0182772	-52.926605	0.061364919
0.04	-8.180068	-7.9522591	-53.046768	0.061547309
0.041	-8.1573591	-8.0399141	-53.109531	0.062223226
0.042	-8.1514578	-7.9735022	-52.955036	0.063778907
0.043	-8.1232052	-7.9689603	-53.077343	0.061026961
0.044	-8.2070694	-7.9422097	-52.981323	0.060077459
0.045	-8.2159739	-7.9735022	-52.843456	0.062019378
0.046	-8.1153736	-7.979403	-53.078953	0.060039908
0.047	-8.1254225	-7.9905252	-53.108459	0.060002357
0.048	-8.1648331	-7.9300861	-53.127235	0.059846789
0.049	-8.1822853	-8.019207	-52.897099	0.062834769
0.05	-8.1073627	-7.9755764	-53.013508	0.062781125
0.051	-8.2088575	-8.0092649	-53.147617	0.063403398
0.052	-8.1500635	-7.9460006	-53.062862	0.061879903
0.053	-8.153389	-7.9579096	-53.277439	0.062003285
0.054	-8.2052097	-8.0684528	-53.12616	0.061085969
0.055	-8.0214243	-7.9841237	-52.928215	0.063355118
0.056	-8.1499557	-7.9712849	-53.155128	0.060726553
0.057	-8.1171255	-7.947896	-52.787128	0.062233955
0.058	-8.1797819	-7.9440336	-53.009754	0.061724335
0.059	-8.1247435	-8.0056534	-53.054279	0.059916526
0.06	-8.1547127	-7.9628091	-53.143864	0.061085969
0.061	-8.1610785	-7.9449635	-52.902466	0.063097626
0.062	-8.1414442	-8.093236	-53.099876	0.062024742
0.063	-8.1676941	-8.0138788	-53.218964	0.060538799
0.064	-8.1054668	-8.0314741	-53.076809	0.060769469
0.065	-8.1247072	-7.9421382	-52.909439	0.062008649
0.066	-8.1712351	-7.9691391	-53.064468	0.060925037
0.067	-8.1514578	-7.9717498	-53.168541	0.06089285
0.068	-8.0919132	-7.9829435	-53.149765	0.059685856
0.069	-8.1356506	-7.9308729	-53.005997	0.058838278
0.07	-8.1726294	-7.9934936	-53.112751	0.060072094
0.071	-8.173667	-8.0170612	-53.234524	0.064411908
0.072	-8.1529245	-7.9572301	-53.036037	0.06218031
0.073	-8.1487761	-8.0027924	-53.243641	0.062512904
0.074	-8.1718073	-7.9932432	-53.229156	0.063510686
0.075	-8.2146149	-7.9735379	-52.893345	0.062936693
0.076	-8.1206665	-8.0698833	-52.995804	0.060415417
0.077	-8.1428747	-8.017169	-52.838093	0.058307201
0.078	-8.1006393	-7.9514723	-53.130451	0.062850863
0.079	-8.1813555	-8.0001097	-52.787128	0.061139613
0.08	-8.1479893	-7.9482536	-53.16264	0.060147196
0.081	-8.141695	-7.9773288	-53.247398	0.06361261
0.082	-8.1545334	-7.9040866	-52.938942	0.060978681
0.083	-8.1953745	-8.0449924	-53.019409	0.062963516
0.084	-8.1727009	-7.9720001	-52.987221	0.061193258
0.085	-8.1135855	-8.0562572	-52.953964	0.062765032
0.086	-8.1253157	-7.9935651	-53.045158	0.061279088
0.087	-8.1574306	-7.9942088	-53.320889	0.061541945
0.088	-8.1541758	-7.9670291	-53.043011	0.06066218
0.089	-8.1184845	-7.9923849	-52.99044	0.060646087
0.09	-8.123992	-7.980011	-52.900318	0.060292035
0.091	-8.154355	-7.956193	-53.169075	0.060646087
0.092	-8.1697683	-7.99192	-52.817707	0.063934475
0.093	-8.1428032	-7.992528	-53.017262	0.063542873
0.094	-8.1810341	-7.952867	-53.169075	0.062942058
0.095	-8.1458073	-8.0032568	-53.179268	0.06287232
0.096	-8.1983433	-7.9638104	-53.126698	0.060061365
0.097	-8.1258879	-8.003829	-52.979713	0.062341243
0.098	-8.1415873	-8.0271111	-53.158882	0.059868246
0.099	-8.0782871	-7.9790454	-52.804295	0.061600953
0.1	-8.1564646	-7.9748254	-53.029602	0.060275942
