Data info
File name: C:\TP_RESA_PERCAGE\TP11\Alu2017-T4-Vc44-f0.0625BC-DRY.dxd
Start time: 05/12/2017 11:23:24,955
Number of channels: 4
Sample rate: 1000
Store type: Toujours rapide


Data1

Time [s]	Fx [N]	Fy [N]	Fz [N]	Mz [Nm]
0	-8.0984936	-8.0872278	-75.542992	0.013938099
0.001	-8.1771002	-8.1026421	-75.479156	0.011245161
0.002	-8.2108603	-8.1272469	-75.176598	0.015193373
0.003	-8.1858263	-8.1354008	-75.48613	0.014662296
0.004	-8.213542	-8.1064682	-75.681396	0.015756637
0.005	-8.1609354	-8.1426249	-75.24366	0.012339503
0.006	-8.2120762	-8.1714134	-75.216301	0.010853559
0.007	-8.2022772	-8.0755692	-75.473793	0.012924224
0.008	-8.1938725	-8.1841097	-75.694801	0.014131218
0.009	-8.2245216	-8.138011	-75.687828	0.012285858
0.01	-8.1198435	-8.178566	-75.291397	0.014281422
0.011	-8.2005959	-8.1631165	-75.738792	0.010939389
0.012	-8.1739168	-8.1048946	-75.85627	0.013964921
0.013	-8.163188	-8.1280336	-75.234001	0.013519675
0.014	-8.2182989	-8.1514225	-75.305885	0.010290295
0.015	-8.0803614	-8.0826149	-75.019424	0.011878163
0.016	-8.1720219	-8.1518154	-75.189476	0.013079792
0.017	-8.1648693	-8.1518869	-75.448044	0.012886673
0.018	-8.217226	-8.1119041	-75.573029	0.010574609
0.019	-8.1872206	-8.1310377	-75.25975	0.011808425
0.02	-8.2751617	-8.1555347	-75.479691	0.010177642
0.021	-8.1593971	-8.1971273	-75.492027	0.011100322
0.022	-8.2166176	-8.1319313	-75.553185	0.013685971
0.023	-8.196126	-8.1771717	-75.509735	0.012055188
0.024	-8.2617149	-8.1372957	-75.658325	0.011706501
0.025	-8.1276398	-8.2047806	-75.271011	0.013106614
0.026	-8.1694469	-8.1367235	-75.52314	0.012124926
0.027	-8.1023912	-8.1043224	-75.294083	0.011824518
0.028	-8.2083569	-8.1298218	-75.27906	0.013739616
0.029	-8.1957684	-8.1283913	-75.465744	0.0094695389
0.03	-8.1610422	-8.1033573	-75.641693	0.01434043
0.031	-8.217226	-8.1891165	-75.212006	0.013600141
0.032	-8.172987	-8.1197004	-75.548355	0.014324337
0.033	-8.2114325	-8.1696615	-75.542458	0.013546497
0.034	-8.2154732	-8.144556	-75.70607	0.012092739
0.035	-8.1389055	-8.2018118	-75.448044	0.013353378
0.036	-8.1839666	-8.1449852	-75.258675	0.012747198
0.037	-8.1349716	-8.1602554	-75.351479	0.012961775
0.038	-8.1652269	-8.0971346	-75.262428	0.010488778
0.039	-8.1653337	-8.140193	-75.386887	0.013584048
0.04	-8.1308231	-8.14781	-75.365967	0.012001544
0.041	-8.1636534	-8.1360798	-75.267799	0.017081648
0.042	-8.1513863	-8.1007824	-75.217369	0.014758855
0.043	-8.1833229	-8.1763487	-75.362213	0.014710575
0.044	-8.2055311	-8.1421957	-75.106865	0.015016347
0.045	-8.1728802	-8.2076054	-75.491493	0.014678389
0.046	-8.2545624	-8.1539974	-75.217911	0.013471395
0.047	-8.1843958	-8.1794243	-75.50222	0.013680607
0.048	-8.1657629	-8.1553564	-75.46682	0.011974722
0.049	-8.2422953	-8.1473455	-75.274773	0.012484342
0.05	-8.1629734	-8.1994877	-75.237221	0.013546497
0.051	-8.2138996	-8.1705551	-75.411026	0.01291886
0.052	-8.1282835	-8.1649761	-75.310173	0.011829883
0.053	-8.1814985	-8.125351	-75.249023	0.016319901
0.054	-8.2179766	-8.1177692	-75.36972	0.014474541
0.055	-8.1820707	-8.1246719	-75.435165	0.014978796
0.056	-8.1919775	-8.1391554	-75.273697	0.013911277
0.057	-8.1801758	-8.1639395	-75.277451	0.015010983
0.058	-8.2256298	-8.1382971	-75.173386	0.010901839
0.059	-8.1989155	-8.1541758	-75.255455	0.014962703
0.06	-8.1978426	-8.1811771	-75.342896	0.012221485
0.061	-8.2052813	-8.1886511	-75.50383	0.013900548
0.062	-8.1635456	-8.1757765	-75.258141	0.014179498
0.063	-8.1989508	-8.1859331	-75.286575	0.014211684
0.064	-8.2012043	-8.1000671	-74.920181	0.014200956
0.065	-8.159791	-8.1336126	-75.4636	0.012092739
0.066	-8.1737022	-8.1249933	-75.786537	0.015998036
0.067	-8.1170187	-8.0936298	-75.302666	0.015520602
0.068	-8.2024918	-8.15203	-75.333244	0.017097741
0.069	-8.1798182	-8.1096153	-75.116516	0.012602359
0.07	-8.2199793	-8.1294641	-75.499001	0.017838031
0.071	-8.2081776	-8.1764565	-75.680855	0.015547425
0.072	-8.1695185	-8.2219105	-75.600929	0.013948828
0.073	-8.1627235	-8.1204157	-75.927086	0.0089760125
0.074	-8.1842165	-8.1354723	-75.887924	0.013900548
0.075	-8.2218037	-8.2019548	-75.74791	0.011100322
0.076	-8.1711273	-8.1357222	-75.35524	0.013653785
0.077	-8.1302147	-8.1770639	-75.174995	0.012795478
0.078	-8.1545334	-8.1244211	-75.234001	0.015155822
0.079	-8.1698046	-8.1342916	-75.270477	0.014297515
0.08	-8.1672297	-8.1831083	-75.598244	0.014410168
0.081	-8.1964474	-8.1138716	-75.501152	0.012972504
0.082	-8.1749897	-8.145772	-75.311783	0.012023002
0.083	-8.1848965	-8.192049	-75.426582	0.016421825
0.084	-8.2317457	-8.0466013	-75.6138	0.013487488
0.085	-8.1741314	-8.1819992	-75.315002	0.012108833
0.086	-8.249341	-8.149992	-75.586983	0.014495999
0.087	-8.1702337	-8.2007036	-75.251167	0.012779385
0.088	-8.1532822	-8.1478815	-75.52314	0.012060553
0.089	-8.1379395	-8.1300364	-75.317146	0.014935881
0.09	-8.1791382	-8.1270323	-75.203957	0.013680607
0.091	-8.2154732	-8.1306801	-75.095596	0.013460666
0.092	-8.1344709	-8.1301079	-75.389572	0.012291223
0.093	-8.1768494	-8.0997448	-75.605217	0.014951974
0.094	-8.1426249	-8.1293564	-75.532265	0.012221485
0.095	-8.248661	-8.1129417	-75.972679	0.011894256
0.096	-8.2083569	-8.1188421	-75.619164	0.012141019
0.097	-8.2112179	-8.1559639	-75.539772	0.011052042
0.098	-8.1951599	-8.1489544	-75.525826	0.01448527
0.099	-8.1891165	-8.1543903	-75.195915	0.013401657
0.1	-8.1379395	-8.1808548	-75.370255	0.014758855
0.101	-8.1958399	-8.1683378	-75.357918	0.014994889
0.102	-8.1078634	-8.1566439	-75.120811	0.010832101
0.103	-8.2025986	-8.1469879	-75.283356	0.015316755
0.104	-8.119772	-8.0650549	-75.489883	0.015901476
0.105	-8.2090721	-8.1225977	-75.567665	0.01697436
0.106	-8.157073	-8.1264954	-75.431412	0.015649348
0.107	-8.1761703	-8.0904827	-75.663689	0.014528185
0.108	-8.1868629	-8.1549625	-75.518318	0.014662296
0.109	-8.1607208	-8.1444483	-75.431946	0.01171723
0.11	-8.1944447	-8.1294994	-75.700165	0.0088526309
0.111	-8.1810341	-8.1105814	-75.478081	0.012210757
