Data info
File name: C:\TP_RESA_PERCAGE\TP11\Alu2017-T4-Vc61-f0.04BC-DRY.dxd
Start time: 05/12/2017 11:33:43,397
Number of channels: 4
Sample rate: 1000
Store type: Toujours rapide


Data1

Time [s]	Fx [N]	Fy [N]	Fz [N]	Mz [Nm]
0	-7.9651337	-8.2062464	-32.757465	0.08453384
0.001	-7.8994017	-8.3136778	-32.992428	0.084029585
0.002	-7.8691821	-8.2968693	-32.553082	0.084614307
0.003	-7.8517656	-8.2518797	-32.531086	0.08596614
0.004	-7.8771214	-8.2214098	-31.989817	0.083713084
0.005	-7.9413157	-8.2069263	-32.524651	0.083552152
0.006	-7.8765492	-8.2893591	-32.287544	0.084877163
0.007	-7.8834515	-8.2275972	-32.313293	0.084667951
0.008	-7.9740028	-8.2459078	-32.617992	0.082613379
0.009	-7.8812342	-8.2770567	-32.842224	0.084968358
0.01	-7.892571	-8.2471952	-32.580441	0.086958557
0.011	-7.8604918	-8.2560644	-32.23658	0.084662586
0.012	-7.9086285	-8.2182627	-32.0499	0.085032731
0.013	-7.903264	-8.2056026	-32.12661	0.082119852
0.014	-7.809351	-8.2559566	-32.541817	0.082854778
0.015	-7.8499775	-8.1705551	-32.642666	0.080590993
0.016	-7.966886	-8.2902536	-32.584194	0.084179789
0.017	-7.8762631	-8.2859974	-32.723671	0.084233433
0.018	-7.9351645	-8.2121477	-32.836861	0.085746199
0.019	-7.9556923	-8.2618217	-32.517677	0.084378272
0.02	-7.9085927	-8.2725868	-32.655006	0.085810572
0.021	-7.8469019	-8.2178698	-32.471542	0.084163696
0.022	-7.82126	-8.254777	-32.401806	0.085692555
0.023	-7.878552	-8.2120047	-32.789116	0.087409168
0.024	-7.9393129	-8.2535248	-32.5681	0.083970577
0.025	-7.8245859	-8.2457285	-31.834785	0.084431916
0.026	-7.9197149	-8.1579313	-32.88353	0.087489635
0.027	-7.9512577	-8.3182201	-32.172207	0.085901767
0.028	-7.8534107	-8.2516651	-32.610481	0.085349232
0.029	-7.8766565	-8.2396135	-32.520359	0.083305389
0.03	-7.8555923	-8.2606773	-32.482269	0.087613016
0.031	-7.8673224	-8.2274895	-32.427017	0.083675534
0.032	-7.8827362	-8.2492695	-32.401806	0.086277276
0.033	-7.7532749	-8.2159023	-32.094959	0.082768947
0.034	-7.9514723	-8.1695185	-32.543961	0.083772093
0.035	-7.9303007	-8.2818136	-32.309002	0.083761364
0.036	-7.8852754	-8.2463369	-32.450085	0.086625963
0.037	-7.9380255	-8.1755619	-32.062775	0.088680536
0.038	-7.9108458	-8.3251219	-32.280033	0.085971504
0.039	-7.8480821	-8.2299576	-32.607262	0.083128363
0.04	-7.8884583	-8.2313881	-32.339043	0.0823237
0.041	-7.8421454	-8.2098942	-32.398586	0.085418969
0.042	-7.9645615	-8.2493048	-32.16148	0.085746199
0.043	-7.8509789	-8.2986574	-32.422188	0.087344795
0.044	-7.859848	-8.1888304	-32.378738	0.08537069
0.045	-7.9369526	-8.2196579	-32.518749	0.0840725
0.046	-7.8780513	-8.2858906	-32.603508	0.084646493
0.047	-7.8374248	-8.2585316	-33.012276	0.083863288
0.048	-7.9049449	-8.2212315	-32.373909	0.084587485
0.049	-7.8653197	-8.1929073	-32.923763	0.082613379
0.05	-7.9177122	-8.2687597	-32.587952	0.085022002
0.051	-7.8091364	-8.2340698	-32.366936	0.083069354
0.052	-7.9028349	-8.2062464	-32.130363	0.08398667
0.053	-7.8918915	-8.2303152	-32.622818	0.083353668
0.054	-7.9533319	-8.2849245	-32.638912	0.084646493
0.055	-7.8248363	-8.2616787	-32.838467	0.084662586
0.056	-7.9927425	-8.1335049	-32.605118	0.084340721
0.057	-7.8786592	-8.2991581	-32.321339	0.084346086
0.058	-7.8068833	-8.2939014	-32.82452	0.084313899
0.059	-7.8952532	-8.2652197	-32.280033	0.082747489
0.06	-7.8871708	-8.2102165	-32.387856	0.08499518
0.061	-7.9008322	-8.2519159	-32.119637	0.084126145
0.062	-7.8445415	-8.2641821	-32.689873	0.08301571
0.063	-7.8840594	-8.1901531	-32.490318	0.08430317
0.064	-7.938097	-8.2763777	-32.265011	0.084571391
0.065	-7.8619938	-8.2858906	-32.665199	0.086588413
0.066	-7.948647	-8.2207308	-32.55201	0.083723813
0.067	-7.8340631	-8.2753763	-32.321339	0.083756
0.068	-7.9258661	-8.1908684	-32.43721	0.085939318
0.069	-7.8602414	-8.2826357	-32.994038	0.086727887
0.07	-7.7981215	-8.2288847	-32.713478	0.08342877
0.071	-7.8819494	-8.1979494	-32.098717	0.084576756
0.072	-7.9449277	-8.2914696	-32.224243	0.08352533
0.073	-7.8272681	-8.2636814	-32.801991	0.083852559
0.074	-7.954083	-8.2318172	-32.716698	0.085311681
0.075	-7.8901749	-8.3306656	-32.617455	0.085692555
0.076	-7.841609	-8.2600336	-32.471004	0.086963922
