Data info
File name: C:\TP_RESA_PERCAGE\TP11\Alu2017-T4-Vc52-f0.05BC-DRY.dxd
Start time: 05/12/2017 11:28:32,094
Number of channels: 4
Sample rate: 1000
Store type: Toujours rapide


Data1

Time [s]	Fx [N]	Fy [N]	Fz [N]	Mz [Nm]
0	-7.8095655	-8.0718498	-53.044086	0.059074312
0.001	-7.8107457	-8.0295067	-53.020481	0.053881556
0.002	-7.8097086	-8.0528955	-53.18195	0.052792579
0.003	-7.855485	-8.0751762	-53.024239	0.056928545
0.004	-7.8090291	-8.0866203	-53.36327	0.058473498
0.005	-7.90448	-8.0108032	-53.30748	0.055394322
0.006	-7.8737955	-8.0585108	-53.306942	0.058484226
0.007	-7.943819	-8.0972414	-53.259197	0.05357042
0.008	-7.733212	-8.1057177	-53.260807	0.057084113
0.009	-7.8504424	-8.0911264	-53.262417	0.05204156
0.01	-7.7880006	-8.0402002	-53.401894	0.055909306
0.011	-7.8248363	-8.0910187	-52.932507	0.055490881
0.012	-7.7925067	-8.0222826	-53.10041	0.052953511
0.013	-7.7992301	-8.0466375	-53.383118	0.05678907
0.014	-7.819901	-8.0246429	-53.340736	0.060399324
0.015	-7.8593116	-8.0615149	-53.151909	0.05609706
0.016	-7.868753	-8.0832224	-53.688351	0.055812746
0.017	-7.7903252	-8.1276045	-53.218964	0.059986264
0.018	-7.8250866	-8.0650196	-53.264565	0.056295544
0.019	-7.7828865	-8.0224257	-53.173904	0.056365281
0.02	-7.8469019	-8.1106882	-53.775257	0.056756884
0.021	-7.7542405	-8.0640898	-52.896564	0.059900433
0.022	-7.7587466	-8.0272541	-53.411549	0.059600025
0.023	-7.7748041	-8.0675945	-53.271538	0.05637601
0.024	-7.8099589	-8.0139856	-52.944843	0.059782416
0.025	-7.7679377	-8.1089363	-53.342884	0.055410415
0.026	-7.8187208	-8.0796824	-53.289238	0.057153851
0.027	-7.7961545	-8.0537186	-53.632561	0.055651814
0.028	-7.9082708	-8.0749254	-53.556389	0.059331805
0.029	-7.8080277	-8.1200228	-53.10685	0.05678907
0.03	-7.7703338	-8.1355438	-53.627197	0.055871755
0.031	-7.7848892	-8.0344067	-53.503815	0.059331805
0.032	-7.8756909	-8.1273184	-53.498451	0.055764467
0.033	-7.7889304	-8.0452785	-53.357903	0.05904749
0.034	-7.7955108	-8.1225977	-53.146545	0.059685856
0.035	-7.8510504	-8.0159168	-53.160492	0.057867318
0.036	-7.7837806	-8.0520735	-53.501671	0.055812746
0.037	-7.8132491	-8.0803614	-53.531174	0.057330877
0.038	-7.8875642	-8.1133347	-53.246323	0.053286105
0.039	-7.8000169	-8.080862	-53.551022	0.05919233
0.04	-7.8073125	-8.0449562	-53.286022	0.056386739
0.041	-7.8704696	-8.0492125	-53.387943	0.057754666
0.042	-7.7861052	-8.1003532	-53.718391	0.057035834
0.043	-7.7761989	-8.0642328	-53.193752	0.057706386
0.044	-7.7665429	-8.0560789	-53.1959	0.05554989
0.045	-7.8447919	-8.0230341	-53.402966	0.060007721
0.046	-7.818542	-8.0927715	-53.281731	0.056681782
0.047	-7.8746538	-8.0953465	-53.547806	0.052899867
0.048	-7.7315669	-8.0605488	-53.422276	0.05370453
0.049	-7.8910332	-8.078681	-53.354687	0.052594095
0.05	-7.8223686	-8.0612288	-53.798321	0.055850297
0.051	-7.8588467	-8.1872206	-53.574089	0.056252629
0.052	-7.7113609	-8.0411654	-53.101486	0.054401904
0.053	-7.8198652	-8.0896959	-52.986687	0.057212859
0.054	-7.8236203	-8.0246429	-53.295139	0.060222298
0.055	-7.7865701	-8.0834017	-53.259197	0.059771687
0.056	-7.8540545	-8.0110531	-53.199116	0.056418926
0.057	-7.8071337	-8.0679522	-53.606277	0.055614263
0.058	-7.8616719	-8.0136995	-53.088074	0.053500682
0.059	-7.8395348	-8.1125126	-53.664749	0.051328093
0.06	-7.8328829	-8.0674868	-53.351467	0.053854734
0.061	-7.793222	-8.0747108	-53.383118	0.05310908
0.062	-7.8315239	-8.0802546	-53.82729	0.056220442
0.063	-7.8305225	-8.1104736	-53.364876	0.050915033
0.064	-7.8134995	-8.1005316	-53.496307	0.059546381
0.065	-7.7616792	-8.05826	-53.004925	0.057438165
0.066	-7.8434329	-8.06738	-53.347176	0.056322366
0.067	-7.7890735	-8.0909834	-53.462509	0.0553675
0.068	-7.8578811	-8.0722437	-53.166931	0.055834204
0.069	-7.7756267	-8.1084709	-53.275291	0.056290179
0.07	-7.861207	-8.0332975	-53.295139	0.058055073
0.071	-7.8304868	-8.0764637	-53.014046	0.055989772
0.072	-7.8799467	-8.1586103	-53.424957	0.05439654
0.073	-7.8063827	-8.087121	-53.689426	0.056864172
0.074	-7.8085642	-8.1202374	-53.819778	0.059482008
0.075	-7.8328829	-7.9886656	-53.437832	0.060973316
0.076	-7.8402858	-8.1461296	-53.378288	0.060125738
0.077	-7.791398	-8.0633745	-53.252762	0.056563765
0.078	-7.7925067	-8.1061106	-53.467873	0.057357699
0.079	-7.8562002	-8.0514297	-53.540829	0.058275014
0.08	-7.8044872	-8.0711708	-53.551559	0.057797581
0.081	-7.90237	-8.110116	-53.379898	0.05573228
0.082	-7.8230124	-8.0912333	-53.497379	0.054450184
0.083	-7.8291636	-8.1272469	-53.499523	0.05586639
0.084	-7.8210096	-8.0560789	-53.21682	0.057035834
0.085	-7.8712206	-8.1413727	-53.354149	0.058891922
0.086	-7.7643614	-8.1057529	-53.384727	0.059541017
0.087	-7.8150373	-8.0773935	-53.630417	0.057143122
0.088	-7.7994089	-8.0375175	-53.027992	0.057534724
0.089	-7.8466158	-8.0324755	-53.323036	0.053286105
0.09	-7.8215103	-8.0984221	-53.411549	0.05406931
0.091	-7.8669648	-8.027504	-53.282265	0.055217296
0.092	-7.8048806	-8.0806122	-53.367561	0.056730062
0.093	-7.8741174	-8.08848	-53.541904	0.055313855
0.094	-7.8154664	-8.0865126	-53.147617	0.056660324
0.095	-7.8059535	-8.1886511	-53.407791	0.057304054
0.096	-7.7414017	-8.0098019	-53.078419	0.057304054
0.097	-7.8831296	-8.1098661	-53.166931	0.056257993
0.098	-7.85502	-8.0260735	-53.148155	0.06015256
0.099	-7.7860694	-8.1032858	-53.309086	0.055871755
0.1	-7.8479748	-8.0631599	-53.075199	0.056225806
0.101	-7.770298	-8.0875854	-53.322498	0.053827912
0.102	-7.8791242	-8.0489979	-53.34771	0.055013448
0.103	-7.8710775	-8.0951672	-53.36005	0.055056363
0.104	-7.8096013	-8.120595	-53.397064	0.058344752
0.105	-7.773016	-8.0383043	-53.482357	0.055050999
0.106	-7.8653913	-8.0894814	-53.673332	0.059331805
0.107	-7.7807765	-8.1252079	-53.179806	0.05858615
0.108	-7.8154664	-8.0903034	-53.292995	0.059369355
0.109	-7.7925782	-8.0562935	-52.88047	0.058489591
0.11	-7.8620296	-8.0469952	-53.080563	0.058559328
0.111	-7.8157167	-8.0293636	-53.441051	0.058414489
0.112	-7.8834515	-8.0921631	-53.568726	0.058006793
0.113	-7.8161101	-8.024786	-53.671185	0.058307201
0.114	-7.8657846	-8.0734234	-53.184631	0.054487735
0.115	-7.9177837	-8.051322	-53.078419	0.059546381
0.116	-7.8952532	-8.157073	-53.481823	0.054750592
0.117	-7.7655773	-8.0659494	-53.407791	0.059841424
0.118	-7.8591685	-8.1078987	-53.516155	0.061053783
0.119	-7.8406434	-8.0460291	-53.510788	0.05826965
0.12	-7.8239779	-8.1078987	-53.078419	0.061016232
0.121	-7.8020196	-8.0198154	-53.223793	0.057030469
0.122	-7.7026348	-8.0834732	-53.326252	0.057518631
0.123	-7.9024773	-8.0129843	-53.096657	0.056633502
0.124	-7.8153591	-8.0456362	-53.38258	0.059240609
0.125	-7.867537	-8.1096153	-53.576237	0.05780831
0.126	-7.8041654	-8.0426321	-53.58321	0.057738572
0.127	-7.8294139	-8.0993872	-53.365414	0.057475716
0.128	-7.8007321	-8.0758915	-53.268318	0.056542307
0.129	-7.8405004	-8.1371174	-53.542439	0.055775195
