Data info
File name: C:\TP_RESA_PERCAGE\TP11\Alu2017-T4-Vc61-f0.0625BC-DRY.dxd
Start time: 05/12/2017 11:37:29,333
Number of channels: 4
Sample rate: 1000
Store type: Toujours rapide


Data1

Time [s]	Fx [N]	Fy [N]	Fz [N]	Mz [Nm]
0	-8.5707054	-8.2859974	-38.852516	0.26285782
0.001	-8.550642	-8.2432966	-38.754887	0.26109293
0.002	-8.6703043	-8.2072477	-38.6712	0.25723055
0.003	-8.4779367	-8.3151798	-38.606289	0.25963917
0.004	-8.5033998	-8.2193003	-38.501686	0.26187077
0.005	-8.6313944	-8.2582817	-38.852516	0.25804594
0.006	-8.5760336	-8.2276688	-38.397614	0.26180103
0.007	-8.5761051	-8.3030567	-38.503292	0.2583839
0.008	-8.5592251	-8.2720146	-38.399223	0.25963381
0.009	-8.6029272	-8.2287416	-38.620773	0.26209608
0.01	-8.606575	-8.2886086	-38.627747	0.26117876
0.011	-8.510767	-8.3104954	-38.608437	0.26429012
0.012	-8.5918055	-8.2227335	-38.420147	0.260299
0.013	-8.6066828	-8.299015	-38.580006	0.25988057
0.014	-8.5059032	-8.2387905	-38.259212	0.26201025
0.015	-8.6008177	-8.2063179	-38.685684	0.26111975
0.016	-8.5969906	-8.2206593	-37.60368	0.26041701
0.017	-8.6043577	-8.232461	-38.298374	0.25832489
0.018	-8.607398	-8.2845669	-38.618092	0.25963381
0.019	-8.5131273	-8.2897882	-38.784927	0.25993958
0.02	-8.6587534	-8.2114325	-39.166336	0.25975719
0.021	-8.5413084	-8.2878933	-38.593952	0.26048675
0.022	-8.4942083	-8.2306728	-38.539234	0.2601327
0.023	-8.5731726	-8.191226	-38.191086	0.26209608
0.024	-8.600317	-8.2704411	-37.872974	0.25867894
0.025	-8.5748539	-8.3199005	-38.047855	0.25937632
0.026	-8.6109381	-8.3093863	-38.712505	0.26480511
0.027	-8.6250286	-8.2253799	-38.807991	0.26050285
0.028	-8.6413727	-8.2387905	-38.447502	0.25915638
0.029	-8.5877285	-8.3035212	-38.046246	0.25916174
0.03	-8.535264	-8.240221	-38.803699	0.26267543
0.031	-8.5768566	-8.2861767	-38.398151	0.25806203
0.032	-8.6427317	-8.2987652	-38.480762	0.26094809
0.033	-8.5408792	-8.1977348	-38.424438	0.25999859
0.034	-8.5578661	-8.2411509	-38.449112	0.25637224
0.035	-8.6529951	-8.2071762	-38.505978	0.26241794
0.036	-8.5934858	-8.2225904	-38.427654	0.26184395
0.037	-8.6217031	-8.3156805	-38.158897	0.25852337
0.038	-8.5447416	-8.2255583	-38.878803	0.26520744
0.039	-8.6120472	-8.1979856	-38.986092	0.26176348
0.04	-8.5609417	-8.274375	-38.195911	0.2605404
0.041	-8.4956751	-8.2288847	-38.428192	0.26129678
